id,filename,f1,f1p,f2,f2p,f3,f3p,f4,f4p,f5,f5p,f6,f6p,f1px,f1py,f2px,f2py,f3px,f3py,f4px,f4py,f5px,f5py,f6px,f6py
0,0_Cam.001__2_8_1_4_4_8.jpg,Flch0_azul,2,Flch6_morada,8,Flch1_verde,1,Flch2_naranja,4,Flch3_amarilla,4,Flch4_roja,8,338,189,244,201,106,313,126,278,159,119,168,233
1,1_Cam.001__1_2_2_5_5_1.jpg,Flch0_azul,1,Flch6_morada,2,Flch1_verde,2,Flch2_naranja,5,Flch3_amarilla,5,Flch4_roja,1,193,385,172,71,344,217,153,297,178,304,96,267
2,2_Cam.003__6_1_2_4_3_2.jpg,Flch0_azul,6,Flch6_morada,1,Flch1_verde,2,Flch2_naranja,4,Flch3_amarilla,3,Flch4_roja,2,316,179,422,151,133,395,330,138,152,77,59,115
3,3_Cam.000__7_7_1_4_2_7.jpg,Flch0_azul,7,Flch6_morada,7,Flch1_verde,1,Flch2_naranja,4,Flch3_amarilla,2,Flch4_roja,7,198,186,212,284,77,121,193,341,72,231,301,204
4,4_Cam.002__2_1_4_5_4_5.jpg,Flch0_azul,2,Flch6_morada,1,Flch1_verde,4,Flch2_naranja,5,Flch3_amarilla,4,Flch4_roja,5,52,265,383,314,194,350,212,334,99,207,102,243
5,5_Cam.001__1_4_8_8_3_3.jpg,Flch0_azul,1,Flch6_morada,4,Flch1_verde,8,Flch2_naranja,8,Flch3_amarilla,3,Flch4_roja,3,263,388,253,317,189,177,187,260,333,223,114,234
6,6_Cam.003__3_4_1_5_9_1.jpg,Flch0_azul,3,Flch6_morada,4,Flch1_verde,1,Flch2_naranja,5,Flch3_amarilla,9,Flch4_roja,1,388,185,180,90,182,19,168,110,210,242,433,258
7,7_Cam.002__1_4_4_1_1_8.jpg,Flch0_azul,1,Flch6_morada,4,Flch1_verde,4,Flch2_naranja,1,Flch3_amarilla,1,Flch4_roja,8,322,79,108,180,338,171,376,121,132,83,239,214
8,8_Cam.003__1_1_2_2_2_7.jpg,Flch0_azul,1,Flch6_morada,1,Flch1_verde,2,Flch2_naranja,2,Flch3_amarilla,2,Flch4_roja,7,26,142,348,62,45,156,45,155,198,413,295,178
9,9_Cam.003__2_2_9_1_5_1.jpg,Flch0_azul,2,Flch6_morada,2,Flch1_verde,9,Flch2_naranja,1,Flch3_amarilla,5,Flch4_roja,1,123,63,165,46,228,178,327,399,193,91,19,175
10,10_Cam.003__1_5_4_2_9_5.jpg,Flch0_azul,1,Flch6_morada,5,Flch1_verde,4,Flch2_naranja,2,Flch3_amarilla,9,Flch4_roja,5,182,20,324,153,85,224,349,371,245,187,136,290
11,11_Cam.002__4_1_5_6_1_9.jpg,Flch0_azul,4,Flch6_morada,1,Flch1_verde,5,Flch2_naranja,6,Flch3_amarilla,1,Flch4_roja,9,249,345,301,375,274,330,322,258,48,296,183,241
12,12_Cam.003__1_3_7_7_1_6.jpg,Flch0_azul,1,Flch6_morada,3,Flch1_verde,7,Flch2_naranja,7,Flch3_amarilla,1,Flch4_roja,6,381,76,281,377,267,149,196,137,81,71,170,127
13,13_Cam.003__4_5_6_8_3_6.jpg,Flch0_azul,4,Flch6_morada,5,Flch1_verde,6,Flch2_naranja,8,Flch3_amarilla,3,Flch4_roja,6,289,101,321,143,319,201,267,259,335,334,194,128
14,14_Cam.003__5_4_1_2_5_1.jpg,Flch0_azul,5,Flch6_morada,4,Flch1_verde,1,Flch2_naranja,2,Flch3_amarilla,5,Flch4_roja,1,317,142,345,293,238,428,149,57,92,231,34,120
15,15_Cam.000__4_3_5_5_4_5.jpg,Flch0_azul,4,Flch6_morada,3,Flch1_verde,5,Flch2_naranja,5,Flch3_amarilla,4,Flch4_roja,5,288,347,177,60,305,294,234,348,347,241,286,120
16,16_Cam.000__4_4_4_6_2_7.jpg,Flch0_azul,4,Flch6_morada,4,Flch1_verde,4,Flch2_naranja,6,Flch3_amarilla,2,Flch4_roja,7,144,132,319,316,268,95,197,133,159,43,220,295
17,17_Cam.002__2_2_9_4_1_3.jpg,Flch0_azul,2,Flch6_morada,2,Flch1_verde,9,Flch2_naranja,4,Flch3_amarilla,1,Flch4_roja,3,261,368,330,350,199,241,106,298,16,218,230,361
18,18_Cam.001__4_7_1_8_5_6.jpg,Flch0_azul,4,Flch6_morada,7,Flch1_verde,1,Flch2_naranja,8,Flch3_amarilla,5,Flch4_roja,6,271,312,150,204,89,179,169,238,200,324,196,130
19,19_Cam.000__4_4_7_6_10_6.jpg,Flch0_azul,4,Flch6_morada,4,Flch1_verde,7,Flch2_naranja,6,Flch3_amarilla,10,Flch4_roja,6,233,362,131,218,197,257,238,118,261,206,281,138
20,20_Cam.003__1_6_1_1_6_3.jpg,Flch0_azul,1,Flch6_morada,6,Flch1_verde,1,Flch2_naranja,1,Flch3_amarilla,6,Flch4_roja,3,424,144,266,123,168,420,4,247,317,202,57,276
21,21_Cam.000__6_1_5_5_3_1.jpg,Flch0_azul,6,Flch6_morada,1,Flch1_verde,5,Flch2_naranja,5,Flch3_amarilla,3,Flch4_roja,1,310,254,198,432,164,171,238,93,355,201,327,379
